,artist_name,biography,country,time_period,characteristics,paintings,movement
0,Max Beckmann,"Max Beckmann (1884–1950) was a German painter, draftsman, printmaker, and writer, known for his bold, effective use of color and a style that bridged 19th-century Symbolism and early 20th-century Expressionism with a distinct personal idiom. Born in Leipzig, Beckmann studied at the Weimar Academy and quickly established himself within the Berlin Secession, inheriting elements from both Impressionism and Symbolism. During World War I, Beckmann served as a medical corpsman, which profoundly affected him, leading to a nervous breakdown and influencing his dark, chaotic interpretations of society and politics.

After the war, Beckmann’s work became associated with the New Objectivity (Neue Sachlichkeit) movement, which critiqued the socio-political environment of the Weimar Republic with unflinching realism. His art during this period often captured the decadence and despair of the time. In 1933, when the Nazi regime came to power, Beckmann was dismissed from his teaching position, and his paintings were labeled 'degenerate art.' Consequently, he moved to Amsterdam and later emigrated to the United States in 1947, where he lived until his death.",Germany,1884 to 1950,"Max Beckmann's work is marked by his ability to combine expressionist intensity with a deeply personal vision that often portrays man’s existential struggles. His rich use of color is often striking, with a palette that conveys intense emotions and moodiness. Beckmann employed a solid, linear style with an emphasis on bold contours and spatial dynamics. His said compositions often feature tragic or mythical elements, using allegorical figures and theatrical scenarios to explore themes such as isolation, violence, and identity.

In his later years, Beckmann expanded his oeuvre to include triptychs that draw parallels with medieval altarpieces, offering complex narratives rich with symbolism. Despite periods of suppression and exile, Beckmann's technique evolved to be more complex in its layering of meaning and often reflected a profound sense of human suffering and resilience, embodying the turmoil and transformation of early 20th-century Europe.","['The Night', 'Departure', ""Bird's Hell"", 'Christ and the Woman Taken in Adultery', 'The Argonauts']",Expressionism
1,Pierre-Auguste Renoir,"Pierre-Auguste Renoir was born on February 25, 1841, in Limoges, France. Coming from a modest background, he moved with his family to Paris in 1844. Renoir began his career decorating porcelain at Lévy Frères before entering the École des Beaux-Arts in 1862. There, Renoir met Alfred Sisley, Claude Monet, and Frédéric Bazille, who would become fellow pioneers of the Impressionist movement. Renoir first exhibited at the Paris Salon in 1864 but gained real attention during the first Impressionist exhibition in 1874. Though initially struggling to sell his work, by the late 1870s, he began to receive more commissions and sales. During the 1880s, Renoir increasingly sought acceptance from the Academy, briefly abandoning Impressionism for a more structured technique, but he eventually returned to a softer and more romantic style. Despite suffering from rheumatoid arthritis in his later years, Renoir continued to paint until his death on December 3, 1919, in Cagnes-sur-Mer, France. His dedication to celebrating beauty and sensuality left a lasting legacy, marking him as one of the foremost figures in Impressionism and one of the most prominent French painters.",France,1841 to 1919,"Renoir's art stands out for its vibrant light and saturated color, focusing on candid human moments and the beauty of everyday life. His style is characterized by a softened brushstroke, a warm palette often featuring soft blush tones, and an emphasis on the effects of light on the observed subjects. Renoir’s impressionistic work often features lively scenes of social gatherings or leisure pursuits, captured in a spontaneous manner that evokes movement and life. In his portraits, Renoir emphasizes sensual line and form, celebrating the human figure with warmth and a keen sensibility to the subtleties of skin tones. In the 1880s, Renoir briefly diverted to a more classical style, using smoother, more defined lines, yet beyond this period, he returned to the vibrant essence of his earlier work.","['Luncheon of the Boating Party', 'Dance at Le Moulin de la Galette', 'The Swing', 'Two Sisters (On the Terrace)', 'Young Girls at the Piano']",Impressionism
2,Berthe Morisot,"Berthe Morisot was born on January 14, 1841, in Bourges, France. Coming from a wealthy and cultured bourgeois family, she was introduced to painting early on and took lessons alongside her sister, Edma. Her family moved to Paris, where she studied painting under the guidance of Joseph-Benoît Guichard, and later, she was influenced by Jean-Baptiste-Camille Corot. Morisot married Eugène Manet, the brother of her close friend and famous painter Édouard Manet, in 1874. 

Morisot was a prominent figure in the Impressionist movement, known for participating in all but one of the eight Impressionist exhibitions from 1874 to 1886. Despite the obstacles faced by women artists during the 19th century, she became a leading force in the movement, advocating for more progressive artistic styles. Her work was characterized by loose brushwork, a light color palette, and an intimate portrayal of domestic life, families, and landscapes. Berthe Morisot passed away on March 2, 1895, due to pneumonia, leaving behind a legacy that would inspire future generations of women artists.",France,1841 to 1895,"Berthe Morisot's art was characterized by its impressionistic style with an emphasis on light, movement, and spontaneity. She employed loose brushstrokes and a delicate palette to capture the subtleties of natural light and atmosphere. Her work frequently focused on contemporary life, particularly domestic and intimate scenes that highlighted women's roles and everyday activities. Morisot utilized quick, gestural brushwork to convey immediacy and emotion, often working in plein air to accurately capture transient effects of light and color. She avoided strong outlines, allowing forms to emerge naturally, creating a sense of fluidity and freshness in her compositions. 

Notably, Morisot was adept in drawing, which brought a structural strength to her airy paintings. Her emphasis on portraying the private, inner world of her subjects offered an insightful commentary on the roles of women in society while maintaining an impressionistic emphasis on capturing a fleeting moment. Her innovative compositions and ability to convey warmth and intimacy established her as a pioneering figure in the Impressionist movement.","['The Cradle', 'Woman at Her Toilette', ""Summer's Day"", ""The Artist's Sister at a Window"", 'View of Paris from the Trocadero']",Impressionism
3,Gustave Caillebotte,"Gustave Caillebotte was born on August 19, 1848, in Paris, France, into a wealthy and cultured family. Educated as a lawyer and engineer, he showed early artistic promise and pursued painting studies at the École des Beaux-Arts in 1873. Caillebotte is often associated with the Impressionists, although he demonstrated a varied style throughout his career. He was instrumental in organizing the Impressionist exhibitions and financially supported many of his peers. His artistic career started in earnest after the Franco-Prussian War, as he began exhibiting with the Impressionists in 1876. Caillebotte's work exhibited a unique perspective influenced by his background in engineering, often featuring a sense of geometric precision and urban realism. He explored subjects such as cityscapes, domestic interiors, and rural scenes, providing a snapshot of the modern Parisian life. Caillebotte eventually retired to his estate in Petit-Gennevilliers, where he painted more landscapes and scenes of leisurely pursuits. He died on February 21, 1894, at the age of 45, leaving a significant collection of artworks to the French State, which greatly contributed to the popularization of Impressionism.",France,1848 to 1894,"Gustave Caillebotte is notable for his meticulous attention to perspective and composition, traits likely influenced by his engineering background. Unlike many of his Impressionist contemporaries, who focused on capturing fleeting moments with loose brushwork, Caillebotte employed a more precise and detailed technique. His paintings often depict Parisian urban life with a focus on modernity and spatial depth, exemplified by works such as 'Paris Street, Rainy Day.' He also explored the tension between traditional and modern, notably in his interior scenes and studies of bourgeois domesticity, which reveal a realist approach. Caillebotte's use of perspective was innovative, frequently employing a high vantage point that resulted in dynamic compositions and an immersive quality. Additionally, his work with light and reflection was sophisticated, enhancing the atmospheric effects he achieved in his urban scenes. Even as he supported and exhibited with the Impressionists, Caillebotte's unique style subtly diverged from the core Impressionist tendencies, aligning more closely at times with realism.","['Paris Street, Rainy Day', 'The Floor Scrapers', ""The Pont de l'Europe"", ""Le Pont de l'Europe (Study)"", 'Man at his Bath']",Impressionism
4,Karl Schmidt-Rottluff,"Karl Schmidt-Rottluff was born on December 1, 1884, in Rottluff, a district of Chemnitz, Germany. He was a founding member of the Expressionist group Die Brücke (The Bridge) in 1905, alongside Ernst Ludwig Kirchner, Erich Heckel, and Fritz Bleyl. This group played a crucial role in shaping German Expressionism, aiming to create a new artistic expression that bridged the past with the present and future. Schmidt-Rottluff studied architecture at the Königliche Technische Hochschule in Dresden but left to fully pursue painting in 1909. Throughout his career, Schmidt-Rottluff's work was characterized by bold use of color and form, reflecting his fascination with emotional expression and primitivism. The turbulent historical periods of World War I and World War II deeply affected his life and work. During the Nazi regime, his work was labeled as 'degenerate art,' leading to the confiscation of 608 of his works from German museums. After World War II, he continued to create art and received numerous honors, including a professorship at the Berlin Academy of Arts. Schmidt-Rottluff passed away on August 10, 1976, leaving behind a significant impact on 20th-century art.",Germany,1884 to 1976,"Karl Schmidt-Rottluff is best known for his vivid and bold use of color, often employing contrasting hues to emphasize emotional intensity. His works are characterized by a simplified and stark form, focusing on the expressive potential of color and shape rather than intricate details. Schmidt-Rottluff's technique often included carving and printmaking, showcasing his versatility and interest in various mediums. Influenced by African art, his paintings convey an elemental and raw quality, marked by strong, almost aggressive lines and forms. Unlike some of his contemporaries, Schmidt-Rottluff maintained a focus on landscape, still life, and portraiture without delving deeply into abstract forms, always seeking to express the underlying emotion and spirit of his subjects. His works often reflect a tension between modernity and tradition, a hallmark of the Expressionist movement he helped to define.","['Houses at Night', 'Self-Portrait with Hat', 'Resting', 'Woman with a Bag', 'Coastal Landscape']",Expressionism
5,André Derain,"André Derain was born on June 10, 1880, in Chatou, France. He was a pivotal figure in the development of early 20th-century art, co-founding the Fauvist movement alongside Henri Matisse. Derain began his formal art education at the Académie Camillo and later attended the Académie Julian, where he met Maurice de Vlaminck and Matisse. His work initially aligned with Fauvism, characterized by its radical use of color and rapid brushwork. Alongside Matisse, Derain participated in the Salon d'Automne of 1905, which marked the official birth of Fauvism. However, by 1908, Derain's interest shifted toward a more traditional approach, influenced by Cézanne's emphasis on form and structure. He explored various styles, including Cubism and neoclassicism, and was known for his theatrical designs. Derain's adaptability marked his career as he moved between different artistic approaches throughout his life. He passed away on September 8, 1954, in Garches, France, leaving behind a diverse and influential body of work that underscores his importance in modern art history.",France,1880 to 1954,"André Derain's work is known for its vibrant color palette and bold use of form. In his Fauvist phase, Derain utilized pure, non-naturalistic colors and expressive brushstrokes, which were instrumental in defining the movement. His early paintings are characterized by simplified, almost abstract compositional elements. Later, under the influence of Cézanne, Derain's style became more structured, incorporating a greater sense of order and balance. He often used geometric shapes to depict landscapes and figures, demonstrating an evolving interest in form and structure. Derain's adaptability is reflected in his forays into Cubism and neoclassicism, where he experimented with perspective and classical themes. His work frequently features landscapes, nudes, and still lifes, each rendered with a keen sensitivity to the balance between color and form.","[""The Turning Road, L'Estaque"", 'London Bridge', 'Big Ben', 'Charing Cross Bridge', 'Portrait of Henri Matisse']",Fauvism
6,August Macke,"August Macke, born on January 3, 1887, in Meschede, Germany, was a prominent German Expressionist painter known for his vibrant color palette and dynamic compositions. He grew up in Bonn, where he received his early art education. In 1904, Macke enrolled at the Kunstakademie Düsseldorf, but his stay was short-lived as he sought more modern influences, leading him to Paris. In Paris, Macke encountered the works of the Impressionists and Post-Impressionists, which profoundly impacted his style.

Macke quickly became involved with the avant-garde movements of his time, including the Expressionist group Der Blaue Reiter, founded by Wassily Kandinsky and Franz Marc. His friendship with Marc was particularly influential, as they shared ideas and collaborated on exhibitions that promoted modern art ideals. Macke's work during this period was characterized by a synthesis of form and color, heavily inspired by the Fauvist use of intense colors and the simplification of forms seen in Cubism.

Tragically, Macke's promising career was cut short by World War I, as he was conscripted into the German army and died in combat in Champagne, France, on September 26, 1914. Despite his untimely death at the age of 27, Macke left an indelible mark on the Expressionist movement, celebrated for his ability to convey the vibrancy and energy of modern life.",Germany,1887 to 1914,"August Macke's art is noted for its joyful exploration of color and light, often capturing the vibrancy of everyday life with a unique sense of harmony. Influenced by French Impressionism and Fauvism, his use of bold, unmodulated colors created a sense of immediacy and liveliness. Macke focused on harmony and balance in his compositions, blending elements of abstraction with representational forms. He frequently depicted scenes of urban leisure, such as promenades, parks, and cafes, encapsulating the dynamism and optimism of the early 20th century.

His work was also marked by a sense of lyricism and spontaneity, likely influenced by his involvement with the Blaue Reiter group. Macke was adept at integrating the human figure within dreamlike environments, emphasizing fluidity and movement. His stylistic development was characterized by a shift towards a more abstract approach in his later years, as he incorporated Cubist elements into his work. Macke's paintings are celebrated for their ability to convey the essence of a moment with a synthesis of color, line, and form.","['The Turkish Cafe', 'Tunic of the Cloth', 'Woman in Green Jacket', 'View into a Lane', 'Rokoko']",Expressionism
8,Raphael,"Raphael Sanzio, commonly known as Raphael, was born on April 6, 1483, in Urbino, Italy. He trained under the master Pietro Perugino and by the age of 17, he had already attained the status of a 'master.' Raphael is best known for his Madonnas and for his large figure compositions in the Vatican. His work is associated with the High Renaissance period and reflects an emphasis on clarity of form and ease of composition. Throughout his career, Raphael was also noted for his efforts in architecture, and in 1514, he became the chief architect of St. Peter's Basilica in Rome, succeeding the more senior Donato Bramante. Raphael's career can be divided into three phases: his early works in Umbria, followed by four years in Florence (1504–1508), and his last triumphant 12 years in Rome, where he worked for two Popes. Tragically, Raphael died young at the age of 37, on Good Friday, April 6, 1520, but not before securing a monumental legacy that influenced Western art immensely.",Italy,1483 to 1520,"Raphael's work is characterized by the perfect balance and harmony that he achieved between idealized figures and realistic settings. His paintings are known for their clarity, spatial unity, and dramatic yet harmonious compositions. Raphael's use of perspective and foreshortening was innovative, creating believable and emotive compositions. His color palette was typically soft, and his figures were serene and graceful. Raphael excelled in creating naturalistic human forms and dynamic compositions. He was adept at bringing a narrative to life, often focusing on themes from religion and classical antiquity, effectively communicating complex theological narratives in an accessible way. Furthermore, his work in the Vatican, particularly The School of Athens, demonstrates his ability to incorporate historical, philosophical, and artistic themes, displaying his comprehensive understanding of the Renaissance ideals of humanism and perfection.","['The School of Athens', 'The Sistine Madonna', 'The Transfiguration', 'Madonna of the Goldfinch', 'Marriage of the Virgin']",Renaissance
9,Alfred Sisley,"Alfred Sisley was born on October 30, 1839, in Paris, France, to affluent British expatriates. Although initially destined for business, he chose to pursue art, enrolling at the École des Beaux-Arts in 1862. There, Sisley befriended future Impressionists like Claude Monet, Pierre-Auguste Renoir, and Frédéric Bazille. Unlike some of his peers who exhibited varied artistic phases, Sisley consistently focused on landscapes. His art typically encapsulates serene rural scenes, portraying the nuanced play of natural light and atmospheric effects. Despite frequent exhibitions with the Impressionists, and his occasional involvement in organizing their shows, Sisley never achieved the financial success or fame of some of his contemporaries like Monet or Renoir. Much of his later life was marked by financial struggles, exacerbated by the Franco-Prussian War and the ensuing economic downturn, yet he continued to paint prodigiously. Sisley's unwavering dedication to Impressionism, primarily expressed through his landscapes, earned him a critical posthumous recognition following his death on January 29, 1899. Today, he is celebrated as a crucial figure in the development of Impressionism, richly contributing to the movement's aesthetic with his sensitive interpretation of natural scenes.",France,1839 to 1899,"Alfred Sisley is best known for his landscape paintings that embody the core principles of Impressionism. His works often exhibit a remarkable sensitivity to the transient qualities of light and atmosphere, reflecting his dedication to painting en plein air. Sisley's palette typically features soft, harmonious colors that convey the subtle moods of various landscapes, from river views to rural life. He was a master of capturing reflections and the interplay of light on water, which is evident in many of his river scenes. Unlike Monet's often vibrant compositions, Sisley preferred more muted tones and focused on creating a calm and balanced visual effect. His brushstrokes are loose yet controlled, enabling detailed depictions of clouds and foliage that vary with the seasons. Throughout his career, he maintained a consistent style, naturalistic yet never static, inviting the viewer to appreciate the dynamic serenity of the natural world. Sisley's work lacked the dramatic human elements that sometimes populated Monet's or Renoir’s canvases but brought a gentle charm and lyrical quality to the landscapes he so loved.","['The Bridge at Villeneuve-la-Garenne', 'Snow at Louveciennes', 'Flood at Port-Marly', 'The Saint-Martin Canal', 'The Seine at Bougival']",Impressionism
10,Barnett Newman,"Barnett Newman (1905–1970) was an influential American artist known for his contributions to abstract expressionism and color field painting. Born in New York City to Polish Jewish immigrant parents, Newman initially pursued philosophy, studying at the City College of New York and later working as a substitute art teacher. It was during the 1940s that he developed a distinctive style characterized by large, bold canvases, embodying philosophical and existential ideas. He became a significant figure in the New York art scene, advocating for an art form that transcended traditional representation and spoke to universal human concerns.

Newman's work is marked by his use of ‘zips’ – vertical lines that stretch across his canvases, serving to divide and yet unify the color fields. His approach to composition and space was influenced by his belief in the sublime and the need for a direct and personal viewer experience. In 1948, he co-founded a cooperative gallery and began to gain recognition. By the 1950s, his work had been featured in prominent exhibitions, solidifying his influence on future generations of artists. Despite facing initial criticism, his legacy grew posthumously, and he is now regarded as a pioneer of modern abstract art.",United States,1940 to 1970,"Barnett Newman's art is characterized by his iconic 'zips' – narrow vertical stripes that disrupt vast color fields on large canvases, emphasizing both separation and unity. This motif became a hallmark of his oeuvre, reflecting his philosophical preoccupation with individuality versus wholeness and the sublime, intended to evoke an existential, emotional response from the viewer. His palette ranged from stark monochromes to vibrant hues, underscoring the emotional charge of color. He shunned representational distractions, focusing instead on spatial purity and the metaphysical aspects of art. Newman's interaction with existential philosophy is evident in his emphasis on the personal experience of art, aspiring to create works that were timeless and beyond narrative constraints. This approach influenced and resonated with Color Field painting and later Minimalist art, making his work a bridge between abstract expressionism and minimalism.","['Vir Heroicus Sublimis', 'Adam', 'The Stations of the Cross', 'Who’s Afraid of Red, Yellow and Blue', 'Cathedra']",Abstract Expressionism
